"id" "Montaña" "Poblacion" "Cruce" "Madre" "Padre" "binomial"
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 1
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 1
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 1
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 1
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 1
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 1
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 1
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 0
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 1
"A110" "Gredos" "CAM" 5 "CAM 92" "PEÑ 28" 1
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 1
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 1
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 0
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 1
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 1
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 1
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 1
"A111" "Gredos" "CAM" 5 "CAM 93" "PEÑ 25" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 0
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 0
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 0
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 1
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 0
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 0
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 0
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 0
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 0
"A112" "Gredos" "CAM" 2 "CAM 13" "SES 4" 0
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
"A113" "Gredos" "CAM" 2 "CAM 18" "SES 28" 1
