moun	pop	blo	class	time	nail	pos	size		
bej	rui	B9	1	1	70	10	3.5		
bej	rui	B9	1	1	71	7	3.6		
bej	rui	B9	1	1	72	4	3.3		
bej	rui	B9	1	1	72	8	3.1		
bej	rui	B9	1	1	73	5	4.9		
bej	rui	B9	1	1	74	1	3.4		
bej	rui	B9	1	1	74	6	6.1		
bej	rui	B9	1	1	75	4	3.3		
bej	rui	B9	1	1	78	2	3.3		
bej	rui	B9	1	1	78	4	5.6		
bej	rui	B9	1	1	78	6	3.5		
bej	rui	B9	1	1	78	9	4.8		
bej	rui	B9	1	1	80	7	4.5		
bej	rui	B9	1	1	81	6	3.6		
bej	rui	B9	1	1	81	1	2.4		
bej	rui	B9	1	1	82	9	4.9		
bej	rui	B9	1	1	84	2	2		
bej	rui	B9	1	1	85	2	2.9		
bej	rui	B9	1	1	86	3	3		
bej	rui	B9	1	1	86	9	6.6		
bej	rui	B9	1	1	87	3	7.2		
bej	rui	B9	1	1	87	4	7.1		
bej	rui	B9	1	1	87	7	3		
bej	rui	B9	1	1	90	2	4.5		
bej	rui	B9	1	1	90	6	4.4		
bej	rui	B9	1	1	90	8	5		
bej	rui	B9	1	1	90	9	5.4		
bej	rui	B9	1	1	90	10	2.2		
bej	rui	B9	1	1	92	4	3.4		
bej	rui	B9	1	1	92	5	3.1		
bej	rui	B9	1	1	92	9	2.8		
bej	rui	B9	1	1	94	1	2.9		
bej	rui	B9	1	1	94	4	2.9		
bej	rui	B9	1	1	95	3	5.7		
bej	rui	B9	1	1	95	4	4		
bej	rui	B9	1	1	95	8	3.1		
bej	rui	B9	1	1	95	9	3.8		
bej	rui	B9	1	1	98	2	2.8		
bej	rui	B9	1	1	99	6	2.2		
bej	rui	B9	1	1	99	7	5.4		
bej	rui	B9	1	1	100	5	4.4		
bej	rui	B9	1	2	100	5	9.9		
bej	rui	B9	1	2	1	1	4.9		
bej	rui	B9	1	2	1	3	3.6		
bej	rui	B9	1	2	2	10	5.1		
bej	rui	B9	1	2	7	3	5.8		
bej	rui	B9	1	2	10	3	16.3		
bej	rui	B9	1	2	12	1	15.3		
bej	rui	B9	1	2	12	6	6.3		
bej	rui	B9	1	2	13	5	4.7		
bej	rui	B9	1	2	13	8	4.8		
bej	rui	B9	1	2	14	1	6.7		
bej	rui	B9	1	2	14	2	5.2		
bej	rui	B9	1	2	14	6	3		
bej	rui	B9	1	2	14	8	5.3		
bej	rui	B9	1	2	18	9	4.5		
bej	rui	B9	1	2	19	2	4		
bej	rui	B9	1	2	19	4	9.9		
bej	rui	B9	1	2	19	5	3.8		
bej	rui	B9	1	2	19	6	16.5		
bej	rui	B9	1	2	19	8	14.5		
bej	rui	B9	1	2	19	9	4.5		
bej	rui	B9	1	2	21	8	4.8		
bej	rui	B9	1	2	21	9	6		
bej	rui	B9	1	2	22	2	2.6		
bej	rui	B9	1	2	27	7	4.8		
bej	rui	B9	1	2	28	1	7.4		
bej	rui	B9	1	2	28	6	29.1		
bej	rui	B9	1	2	31	2	6.4		
bej	rui	B9	1	2	31	3	5.8		
bej	rui	B9	1	2	32	2	4.8		
bej	rui	B9	1	2	32	10	4.7		
bej	rui	B9	1	2	33	3	6		
bej	rui	B9	1	2	33	10	4.8		
bej	rui	B9	1	2	35	1	5.3		
bej	rui	B9	1	2	35	8	3.6		
